instance,run,n_job,n_tries,e_min,initial_average,final_average,prob_opt
tai20_5_0.fsp,1,2,1,352,352.0,352.0,1.0
tai20_5_0.fsp,1,2,2,352,352.0048828125,352.0,1.0
tai20_5_0.fsp,1,2,3,352,352.0048828125,352.0,1.0
tai20_5_0.fsp,1,2,4,352,352.01953125,352.0,1.0
tai20_5_0.fsp,1,2,5,352,352.01953125,352.0,1.0
tai20_5_0.fsp,1,2,6,352,352.0390625,352.0,1.0
tai20_5_0.fsp,1,2,7,352,352.0439453125,352.0,1.0
tai20_5_0.fsp,1,2,8,352,352.0537109375,352.0,1.0
tai20_5_0.fsp,1,2,9,352,352.068359375,352.0,1.0
tai20_5_0.fsp,1,2,10,352,352.0830078125,352.0,1.0
tai20_5_0.fsp,2,2,1,352,352.0,352.0,0.9990234375
tai20_5_0.fsp,2,2,2,352,352.0,352.01953125,0.998046875
tai20_5_0.fsp,2,2,3,352,352.0,352.0,1.0
tai20_5_0.fsp,2,2,4,352,352.0146484375,352.0,1.0
tai20_5_0.fsp,2,2,5,352,352.01953125,352.0,1.0
tai20_5_0.fsp,2,2,6,352,352.01953125,352.0,1.0
tai20_5_0.fsp,2,2,7,352,352.029296875,352.0,1.0
tai20_5_0.fsp,2,2,8,352,352.0390625,352.0,1.0
tai20_5_0.fsp,2,2,9,352,352.0439453125,352.0,1.0
tai20_5_0.fsp,2,2,10,352,352.0927734375,352.0,1.0
tai20_5_0.fsp,3,2,1,352,352.0,352.0,1.0
tai20_5_0.fsp,3,2,2,352,352.0,352.0,1.0
tai20_5_0.fsp,3,2,3,352,352.009765625,352.0,1.0
tai20_5_0.fsp,3,2,4,352,352.0146484375,352.0,1.0
tai20_5_0.fsp,3,2,5,352,352.0146484375,352.0,1.0
tai20_5_0.fsp,3,2,6,352,352.01953125,352.0,0.9990234375
tai20_5_0.fsp,3,2,7,352,352.048828125,352.0,1.0
tai20_5_0.fsp,3,2,8,352,352.0537109375,352.0,1.0
tai20_5_0.fsp,3,2,9,352,352.0732421875,352.0,1.0
tai20_5_0.fsp,3,2,10,352,352.1708984375,352.0,1.0
tai20_5_0.fsp,4,2,1,352,352.0,352.009765625,0.9970703125
tai20_5_0.fsp,4,2,2,352,352.0,352.0,1.0
tai20_5_0.fsp,4,2,3,352,352.0,352.0,1.0
tai20_5_0.fsp,4,2,4,352,352.0,352.0,1.0
tai20_5_0.fsp,4,2,5,352,352.0048828125,352.0,1.0
tai20_5_0.fsp,4,2,6,352,352.009765625,352.0,1.0
tai20_5_0.fsp,4,2,7,352,352.01953125,352.0,1.0
tai20_5_0.fsp,4,2,8,352,352.029296875,352.0,1.0
tai20_5_0.fsp,4,2,9,352,352.0634765625,352.0,1.0
tai20_5_0.fsp,4,2,10,352,352.0830078125,352.0,1.0
tai20_5_0.fsp,5,2,1,352,352.0,352.0,1.0
tai20_5_0.fsp,5,2,2,352,352.01953125,352.0,1.0
tai20_5_0.fsp,5,2,3,352,352.0341796875,352.0,1.0
tai20_5_0.fsp,5,2,4,352,352.0390625,352.0,1.0
tai20_5_0.fsp,5,2,5,352,352.0927734375,352.0,1.0
tai20_5_0.fsp,5,2,6,352,352.0927734375,352.0,1.0
tai20_5_0.fsp,5,2,7,352,352.0927734375,352.0,1.0
tai20_5_0.fsp,5,2,8,352,352.107421875,352.0,1.0
tai20_5_0.fsp,5,2,9,352,352.1318359375,352.0,1.0
tai20_5_0.fsp,5,2,10,352,352.1416015625,352.0,1.0
tai20_5_1.fsp,1,2,1,350,350.0,350.0,1.0
