instance,run,n_job,n_tries,e_min,initial_average,final_average,prob_opt
tai20_5_0.fsp,1,2,1,352,352.0,352.0,1.0
tai20_5_0.fsp,1,2,2,352,352.0,352.0,1.0
tai20_5_0.fsp,1,2,3,352,352.0048828125,352.0,1.0
tai20_5_0.fsp,1,2,4,352,352.0048828125,352.0,1.0
tai20_5_0.fsp,1,2,5,352,352.0146484375,352.0,1.0
tai20_5_0.fsp,1,2,6,352,352.0146484375,352.0,1.0
tai20_5_0.fsp,1,2,7,352,352.0146484375,352.0,1.0
tai20_5_0.fsp,1,2,8,352,352.1123046875,352.0,1.0
tai20_5_0.fsp,1,2,9,352,352.1220703125,352.0,1.0
tai20_5_0.fsp,1,2,10,352,352.166015625,352.0,1.0
tai20_5_0.fsp,2,2,1,352,352.0,352.0,1.0
tai20_5_0.fsp,2,2,2,352,352.0,352.0,1.0
tai20_5_0.fsp,2,2,3,352,352.0048828125,352.0,0.9990234375
tai20_5_0.fsp,2,2,4,352,352.0048828125,352.0,1.0
tai20_5_0.fsp,2,2,5,352,352.0048828125,352.0,1.0
tai20_5_0.fsp,2,2,6,352,352.009765625,352.0,1.0
tai20_5_0.fsp,2,2,7,352,352.0341796875,352.0,1.0
tai20_5_0.fsp,2,2,8,352,352.0927734375,352.0,1.0
tai20_5_0.fsp,2,2,9,352,352.1416015625,352.0,1.0
tai20_5_0.fsp,2,2,10,352,352.15625,352.0,1.0
tai20_5_0.fsp,3,2,1,352,352.0,352.0,1.0
tai20_5_0.fsp,3,2,2,352,352.0,352.0,1.0
tai20_5_0.fsp,3,2,3,352,352.0,352.0,1.0
tai20_5_0.fsp,3,2,4,352,352.0,352.0,1.0
tai20_5_0.fsp,3,2,5,352,352.0048828125,352.0,1.0
tai20_5_0.fsp,3,2,6,352,352.0048828125,352.0,1.0
tai20_5_0.fsp,3,2,7,352,352.009765625,352.0,1.0
tai20_5_0.fsp,3,2,8,352,352.029296875,352.0,1.0
tai20_5_0.fsp,3,2,9,352,352.048828125,352.0,1.0
tai20_5_0.fsp,3,2,10,352,352.048828125,352.0,1.0
tai20_5_0.fsp,4,2,1,352,352.0,352.0,1.0
tai20_5_0.fsp,4,2,2,352,352.0,352.0,0.9990234375
tai20_5_0.fsp,4,2,3,352,352.0,352.0,1.0
tai20_5_0.fsp,4,2,4,352,352.0048828125,352.0,1.0
tai20_5_0.fsp,4,2,5,352,352.009765625,352.0,1.0
tai20_5_0.fsp,4,2,6,352,352.009765625,352.0,1.0
tai20_5_0.fsp,4,2,7,352,352.0146484375,352.0,1.0
tai20_5_0.fsp,4,2,8,352,352.01953125,352.0,1.0
tai20_5_0.fsp,4,2,9,352,352.0244140625,352.0,1.0
tai20_5_0.fsp,4,2,10,352,352.029296875,352.0,1.0
tai20_5_0.fsp,5,2,1,352,352.0,352.0,1.0
