instance,run,n_job,n_tries,e_min,initial_average,final_average,prob_opt,lowest_energy_iteration,lowest_energy_prob_iteration
tai20_5_0.fsp,1,4,1,467,477.7138671875,471.0,0.0,,
tai20_5_0.fsp,1,4,2,467,480.681640625,467.0,0.9990234375,,
tai20_5_0.fsp,1,4,3,467,481.3837890625,467.0,1.0,467.0,0.9990234375
tai20_5_0.fsp,1,4,4,467,482.7822265625,476.0,0.0,467.0,1.0
tai20_5_0.fsp,1,4,5,467,483.2041015625,467.0,1.0,467.0,1.0
tai20_5_0.fsp,1,4,6,467,484.7646484375,467.0,1.0,467.0,1.0
tai20_5_0.fsp,1,4,7,467,484.791015625,471.0185546875,0.0,467.0,1.0
tai20_5_0.fsp,1,4,8,467,485.3212890625,471.005859375,0.0029296875,467.0,1.0
tai20_5_0.fsp,1,4,9,467,485.6572265625,476.0029296875,0.0,467.0,1.0
tai20_5_0.fsp,1,4,10,467,486.3837890625,467.0576171875,0.998046875,467.0,1.0
tai20_5_0.fsp,1,4,best,467,,467.0,1.0,467.0,1.0
tai20_5_0.fsp,2,4,1,467,479.1396484375,470.98828125,0.107421875,,
tai20_5_0.fsp,2,4,2,467,481.1630859375,467.19921875,0.9580078125,467.0,0.107421875
tai20_5_0.fsp,2,4,3,467,481.595703125,467.0,1.0,467.0,0.9580078125
tai20_5_0.fsp,2,4,4,467,481.875,467.029296875,0.9931640625,467.0,1.0
tai20_5_0.fsp,2,4,5,467,483.5146484375,471.033203125,0.0234375,467.0,1.0
tai20_5_0.fsp,2,4,6,467,483.5458984375,471.015625,0.0,467.0,1.0
tai20_5_0.fsp,2,4,7,467,484.5966796875,467.0302734375,0.9970703125,467.0,1.0
tai20_5_0.fsp,2,4,8,467,484.6640625,467.1953125,0.998046875,467.0,1.0
tai20_5_0.fsp,2,4,9,467,484.8056640625,476.107421875,0.0,467.0,1.0
tai20_5_0.fsp,2,4,10,467,485.115234375,469.4072265625,0.4365234375,467.0,1.0
tai20_5_0.fsp,2,4,best,467,,467.0,1.0,467.0,1.0
tai20_5_0.fsp,3,4,1,467,480.5498046875,467.39453125,0.9296875,,
tai20_5_0.fsp,3,4,2,467,481.35546875,476.0,0.0,467.0,0.9296875
tai20_5_0.fsp,3,4,3,467,483.9130859375,471.0,0.0,467.0,0.9296875
tai20_5_0.fsp,3,4,4,467,484.361328125,467.08203125,0.9814453125,467.0,0.9296875
tai20_5_0.fsp,3,4,5,467,484.4619140625,476.0,0.0,467.0,0.9814453125
tai20_5_0.fsp,3,4,6,467,484.6181640625,476.0,0.0,467.0,0.9814453125
tai20_5_0.fsp,3,4,7,467,485.0791015625,467.0,1.0,467.0,0.9814453125
tai20_5_0.fsp,3,4,8,467,486.1337890625,467.0673828125,0.99609375,467.0,1.0
tai20_5_0.fsp,3,4,9,467,486.146484375,467.0,1.0,467.0,1.0
tai20_5_0.fsp,3,4,10,467,486.4990234375,467.044921875,1.0,467.0,1.0
tai20_5_0.fsp,3,4,best,467,,467.0,1.0,467.0,1.0
tai20_5_0.fsp,4,4,1,467,474.3076171875,467.0244140625,0.998046875,,
tai20_5_0.fsp,4,4,2,467,476.31640625,467.0,1.0,467.0,0.998046875
tai20_5_0.fsp,4,4,3,467,476.48046875,467.0,1.0,467.0,1.0
tai20_5_0.fsp,4,4,4,467,479.94140625,467.0,1.0,467.0,1.0
tai20_5_0.fsp,4,4,5,467,480.607421875,467.021484375,0.9970703125,467.0,1.0
tai20_5_0.fsp,4,4,6,467,481.220703125,476.0,0.0,467.0,1.0
tai20_5_0.fsp,4,4,7,467,481.2919921875,467.13671875,0.958984375,467.0,1.0
tai20_5_0.fsp,4,4,8,467,481.458984375,467.0,1.0,467.0,1.0
tai20_5_0.fsp,4,4,9,467,482.970703125,471.0,0.0,467.0,1.0
